Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
24-Jul,24,D,2,1,1,1,0,0,0,KLM
24-Jul,28,D,1,0,0,0,0,0,0,KLM
24-Jul,34,D,2,1,1,1,0,0,0,KLM
24-Jul,53,D,2,5,5,0,4,1,0,KLM
24-Jul,55,D,0,4,4,1,2,1,0,KLM
24-Jul,56,D,2,3,3,3,0,0,0,KLM
24-Jul,63,D,2,2,2,1,1,0,0,KLM
24-Jul,75,D,1,2,2,0,0,1,1,KLM
24-Jul,79,D,3,10,10,1,3,0,6,KLM
24-Jul,80,D,14,7,7,2,1,1,3,KLM
24-Jul,33,E,0,1,1,0,0,0,1,KLM
24-Jul,34,E,0,1,1,0,1,0,0,KLM
